state,name,lon,lat,region,ID,cluster
TX,Sweetwater Phase III,-100.418327,32.267693,SW,55213,1
TX,Callahan Divide,-99.99852800000001,32.357136,SW,8755,1
CA,Montezuma,-121.801689,38.150894,SW,36354,6
TX,Loraine II,-100.665588,32.426094,SW,31390,1
TX,King Mtn. Wind Ranch,-102.14005300000001,31.233147,SW,27856,1
TX,Pyron (Roscoe III),-100.65819499999999,32.634192999999996,SW,44950,1
TX,Callahan Divide,-100.04474599999999,32.304629999999996,SW,8719,1
CA,Coram Energy LLC,-118.349915,35.061588,SW,13211,4
CO,Northeast Colorado Wind,-102.797188,40.979492,SW,38674,2
CO,Cedar Creek,-104.091789,40.874190999999996,SW,10825,2
TX,Horse Hollow II,-99.92021899999999,32.197601,SW,25032,1
CA,Tehachapi Windplant II,-118.29438799999998,35.117393,SW,55899,4
CO,Cedar Creek,-104.068489,40.845591999999996,SW,10817,2
TX,JD Wind 8,-101.89359300000001,36.025696,SW,26455,1
TX,Woodward Mountain I,-102.464691,30.929596000000004,SW,61441,1
TX,Sweetwater Phase II,-100.36443299999999,32.307743,SW,55141,1
TX,Hackberry,-99.499092,32.786495,SW,22395,1
TX,Horse Hollow II,-99.90969100000001,32.200404999999996,SW,25079,1
NV,Spring Valley,-114.48329199999999,39.107094000000004,SW,53197,7
CA,Shiloh Wind Project,-121.87608300000001,38.137894,SW,50982,6
CO,Golden West Wind Farm,-104.262901,38.974983,SW,20087,0
NM,New Mexico Wind Energy Center,-104.038422,34.662212,SW,37275,1
TX,Forest Creek Wind Project,-101.17099,32.062595,SW,18522,1
CO,Northeast Colorado Wind,-102.895889,40.971092,SW,38672,2
CO,Twin Buttes,-102.883392,37.671696000000004,SW,57595,9
CA,Alta XI,-118.38038600000002,35.083195,SW,909,4
TX,Capricorn Ridge,-100.78939100000001,31.901995,SW,9734,1
TX,McAdoo,-100.98069,33.744095,SW,33548,1
TX,Loraine,-100.742592,32.472694,SW,31320,1
AZ,Dry Lake,-110.298492,34.638195,SW,15562,10
TX,McAdoo,-100.928993,33.739796000000005,SW,33574,1
CO,Spring Canyon,-103.052094,40.929394,SW,53120,2
UT,Milford Phase I,-112.946991,38.537791999999996,SW,35339,7
TX,Sherbino I,-102.336792,30.821594,SW,50650,1
CA,San Gorgonio Westwinds II LLC,-116.57348600000002,33.903095,SW,49106,4
TX,King Mtn. Wind Ranch,-102.234993,31.206394,SW,27918,1
CO,Spring Canyon Expansion,-102.963127,40.995125,SW,53145,2
TX,King Mtn. Wind Ranch,-102.193291,31.285795,SW,28033,1
TX,Langford,-100.704193,31.146996,SW,29448,1
TX,Buffalo Gap 2,-100.235794,32.355095,SW,7842,1
TX,Turkey Track,-100.258995,32.199394,SW,57382,1
CO,Limon II,-103.62389399999999,39.352092999999996,SW,30266,0
CA,Manzana Winds,-118.44488500000001,34.925796999999996,SW,32856,4
NM,Roosevelt,-103.47444200000001,33.899796,SW,47693,1
TX,Panther Creek III,-101.11039,32.008694,SW,41253,1
CA,Golden Hills,-121.610367,37.712123999999996,SW,19907,6
TX,Noble Great Plains,-101.339493,36.452694,SW,37926,1
CA,Alta II,-118.223289,35.025494,SW,407,4
TX,Sweetwater IVa,-100.305389,32.358295,SW,55072,1
CA,Pacific Wind,-118.41519199999999,34.871696,SW,40297,4
TX,Brazos Wind Ranch,-101.12086500000001,32.956226,SW,6588,1
